sequence_code,sequence,method,z,region,value,truth,abs_error,recurrence_residual,recurrence_status,status,error_message
A,variable_base_tetration,hermite_cubic,-2.0,backward_extension,,,,,,failed:ValueError,Variable-base inverse recurrence requires z > 0 and z != 1.
A,variable_base_tetration,hermite_cubic,-1.0,type_a_z_minus_1_limit,0.0,,,,skipped_variable_base_singularity,ok,
A,variable_base_tetration,hermite_cubic,0.0,type_a_z0_limit,0.3930142426287744,,,,skipped_variable_base_singularity,ok,
A,variable_base_tetration,hermite_cubic,0.25,backward_extension,0.5836673398274902,,,0.0,ok,ok,
A,variable_base_tetration,hermite_cubic,0.5,backward_extension,0.751127165488991,,,0.0,ok,ok,
A,variable_base_tetration,hermite_cubic,1.0,base_interval,0.9999999999999999,,,1.1102230246251565e-16,ok,ok,
A,variable_base_tetration,hermite_cubic,1.5,base_interval,1.3560226017790877,,,0.0,ok,ok,
A,variable_base_tetration,hermite_cubic,2.0,base_interval,2.0,,,2.220446049250313e-16,ok,ok,
A,variable_base_tetration,hermite_cubic,3.0,forward_extension,9.0,,,0.0,ok,ok,
A,variable_base_tetration,hermite_cubic,4.0,forward_extension,262144.0,,,0.0,ok,ok,
A,variable_base_tetration,hermite_cubic,5.0,forward_extension,,,,,,failed:OverflowError,"(34, 'Result too large')"
A,variable_base_tetration,hermite_quintic,-2.0,backward_extension,,,,,,failed:ValueError,Variable-base inverse recurrence requires z > 0 and z != 1.
A,variable_base_tetration,hermite_quintic,-1.0,type_a_z_minus_1_limit,0.0,,,,skipped_variable_base_singularity,ok,
A,variable_base_tetration,hermite_quintic,0.0,type_a_z0_limit,0.4279837443424448,,,,skipped_variable_base_singularity,ok,
A,variable_base_tetration,hermite_quintic,0.25,backward_extension,0.5603353972965486,,,0.0,ok,ok,
A,variable_base_tetration,hermite_quintic,0.5,backward_extension,0.7428434256955467,,,0.0,ok,ok,
A,variable_base_tetration,hermite_quintic,1.0,base_interval,0.9999999999999996,,,4.440892098500626e-16,ok,ok,
A,variable_base_tetration,hermite_quintic,1.5,base_interval,1.351475677506794,,,0.0,ok,ok,
A,variable_base_tetration,hermite_quintic,2.0,base_interval,1.9999999999999925,,,6.8833827526759706e-15,ok,ok,
A,variable_base_tetration,hermite_quintic,3.0,forward_extension,8.999999999999925,,,0.0,ok,ok,
A,variable_base_tetration,hermite_quintic,4.0,forward_extension,262143.99999997288,,,0.0,ok,ok,
A,variable_base_tetration,hermite_quintic,5.0,forward_extension,,,,,,failed:OverflowError,"(34, 'Result too large')"
A,variable_base_tetration,chebyshev,-2.0,backward_extension,,,,,,failed:ValueError,Variable-base inverse recurrence requires z > 0 and z != 1.
A,variable_base_tetration,chebyshev,-1.0,type_a_z_minus_1_limit,0.0,,,,skipped_variable_base_singularity,ok,
A,variable_base_tetration,chebyshev,0.0,type_a_z0_limit,0.4015779947757775,,,,skipped_variable_base_singularity,ok,
A,variable_base_tetration,chebyshev,0.25,backward_extension,0.5757992570579948,,,0.0,ok,ok,
A,variable_base_tetration,chebyshev,0.5,backward_extension,0.7411526459729706,,,0.0,ok,ok,
A,variable_base_tetration,chebyshev,1.0,base_interval,1.0,,,0.0,ok,ok,
A,variable_base_tetration,chebyshev,1.5,base_interval,1.3505494879177276,,,0.0,ok,ok,
A,variable_base_tetration,chebyshev,2.0,base_interval,1.9999999999999991,,,8.881784197001252e-16,ok,ok,
A,variable_base_tetration,chebyshev,3.0,forward_extension,8.999999999999991,,,0.0,ok,ok,
A,variable_base_tetration,chebyshev,4.0,forward_extension,262143.99999999677,,,0.0,ok,ok,
A,variable_base_tetration,chebyshev,5.0,forward_extension,,,,,,failed:OverflowError,"(34, 'Result too large')"
B,fixed_base_tetration,hermite_cubic,-2.0,backward_extension,,,,,,failed:ValueError,math domain error
B,fixed_base_tetration,hermite_cubic,-1.0,backward_extension,0.0,,,,failed:ValueError,ok,
B,fixed_base_tetration,hermite_cubic,0.0,backward_extension,1.0,,,0.0,ok,ok,
B,fixed_base_tetration,hermite_cubic,0.25,backward_extension,1.099963409364868,,,0.0,ok,ok,
B,fixed_base_tetration,hermite_cubic,0.5,backward_extension,1.185081003812305,,,0.0,ok,ok,
B,fixed_base_tetration,hermite_cubic,1.0,base_interval,1.3,,,0.0,ok,ok,
B,fixed_base_tetration,hermite_cubic,1.5,base_interval,1.3646840080446423,,,0.0,ok,ok,
B,fixed_base_tetration,hermite_cubic,2.0,base_interval,1.4064566732378863,,,0.0,ok,ok,
B,fixed_base_tetration,hermite_cubic,3.0,forward_extension,1.446293346285982,,,0.0,ok,ok,
B,fixed_base_tetration,hermite_cubic,4.0,forward_extension,1.4614888698917725,,,0.0,ok,ok,
B,fixed_base_tetration,hermite_cubic,5.0,forward_extension,1.467327108831111,,,0.0,ok,ok,
B,fixed_base_tetration,hermite_quintic,-2.0,backward_extension,,,,,,failed:ValueError,math domain error
B,fixed_base_tetration,hermite_quintic,-1.0,backward_extension,0.0,,,,failed:ValueError,ok,
B,fixed_base_tetration,hermite_quintic,0.0,backward_extension,1.0,,,0.0,ok,ok,
B,fixed_base_tetration,hermite_quintic,0.25,backward_extension,1.1012953168723885,,,0.0,ok,ok,
B,fixed_base_tetration,hermite_quintic,0.5,backward_extension,1.1878758780941705,,,0.0,ok,ok,
B,fixed_base_tetration,hermite_quintic,1.0,base_interval,1.3,,,0.0,ok,ok,
B,fixed_base_tetration,hermite_quintic,1.5,base_interval,1.3656850638750218,,,0.0,ok,ok,
B,fixed_base_tetration,hermite_quintic,2.0,base_interval,1.4064566732378863,,,0.0,ok,ok,
B,fixed_base_tetration,hermite_quintic,3.0,forward_extension,1.446293346285982,,,0.0,ok,ok,
B,fixed_base_tetration,hermite_quintic,4.0,forward_extension,1.4614888698917725,,,0.0,ok,ok,
B,fixed_base_tetration,hermite_quintic,5.0,forward_extension,1.467327108831111,,,0.0,ok,ok,
B,fixed_base_tetration,chebyshev,-2.0,backward_extension,,,,,,failed:ValueError,math domain error
B,fixed_base_tetration,chebyshev,-1.0,backward_extension,0.0,,,,failed:ValueError,ok,
B,fixed_base_tetration,chebyshev,0.0,backward_extension,1.0,,,0.0,ok,ok,
B,fixed_base_tetration,chebyshev,0.25,backward_extension,1.08524184196204,,,0.0,ok,ok,
B,fixed_base_tetration,chebyshev,0.5,backward_extension,1.1665658211706222,,,0.0,ok,ok,
B,fixed_base_tetration,chebyshev,1.0,base_interval,1.3,,,0.0,ok,ok,
B,fixed_base_tetration,chebyshev,1.5,base_interval,1.3580708276414613,,,0.0,ok,ok,
B,fixed_base_tetration,chebyshev,2.0,base_interval,1.4064566732378863,,,0.0,ok,ok,
B,fixed_base_tetration,chebyshev,3.0,forward_extension,1.446293346285982,,,0.0,ok,ok,
B,fixed_base_tetration,chebyshev,4.0,forward_extension,1.4614888698917725,,,0.0,ok,ok,
B,fixed_base_tetration,chebyshev,5.0,forward_extension,1.467327108831111,,,0.0,ok,ok,
C,factorial_type,hermite_cubic,-2.0,backward_extension,,,,,,failed:ZeroDivisionError,float division by zero
C,factorial_type,hermite_cubic,-1.0,backward_extension,,,,,,failed:ZeroDivisionError,float division by zero
C,factorial_type,hermite_cubic,0.0,backward_extension,0.9999999999999998,1.0,2.220446049250313e-16,,failed:ZeroDivisionError,ok,
C,factorial_type,hermite_cubic,0.25,backward_extension,0.8982142857142854,0.9064024770554773,0.008188191341191864,0.0,ok,ok,
C,factorial_type,hermite_cubic,0.5,backward_extension,0.8928571428571429,0.8862269254527578,0.006630217404385075,0.0,ok,ok,
C,factorial_type,hermite_cubic,1.0,base_interval,0.9999999999999998,1.0,2.220446049250313e-16,0.0,ok,ok,
C,factorial_type,hermite_cubic,1.5,base_interval,1.3392857142857144,1.329340388179137,0.00994532610657739,0.0,ok,ok,
C,factorial_type,hermite_cubic,2.0,base_interval,2.0000000000000004,2.0,4.440892098500626e-16,8.881784197001252e-16,ok,ok,
C,factorial_type,hermite_cubic,3.0,forward_extension,6.000000000000002,6.0,1.7763568394002505e-15,0.0,ok,ok,
C,factorial_type,hermite_cubic,4.0,forward_extension,24.000000000000007,24.0,7.105427357601002e-15,0.0,ok,ok,
C,factorial_type,hermite_cubic,5.0,forward_extension,120.00000000000003,120.0,2.842170943040401e-14,0.0,ok,ok,
C,factorial_type,hermite_quintic,-2.0,backward_extension,,,,,,failed:ZeroDivisionError,float division by zero
C,factorial_type,hermite_quintic,-1.0,backward_extension,,,,,,failed:ZeroDivisionError,float division by zero
C,factorial_type,hermite_quintic,0.0,backward_extension,1.0000000000000004,1.0,4.440892098500626e-16,,failed:ZeroDivisionError,ok,
C,factorial_type,hermite_quintic,0.25,backward_extension,0.8916204886474279,0.9064024770554773,0.01478198840804934,0.0,ok,ok,
C,factorial_type,hermite_quintic,0.5,backward_extension,0.8866263339365833,0.8862269254527578,0.0003994084838254697,0.0,ok,ok,
C,factorial_type,hermite_quintic,1.0,base_interval,1.0000000000000004,1.0,4.440892098500626e-16,0.0,ok,ok,
C,factorial_type,hermite_quintic,1.5,base_interval,1.329939500904875,1.329340388179137,0.0005991127257378714,0.0,ok,ok,
C,factorial_type,hermite_quintic,2.0,base_interval,2.0000000000000075,2.0,7.549516567451064e-15,6.661338147750939e-15,ok,ok,
C,factorial_type,hermite_quintic,3.0,forward_extension,6.000000000000023,6.0,2.3092638912203256e-14,0.0,ok,ok,
C,factorial_type,hermite_quintic,4.0,forward_extension,24.000000000000092,24.0,9.237055564881302e-14,0.0,ok,ok,
C,factorial_type,hermite_quintic,5.0,forward_extension,120.00000000000045,120.0,4.547473508864641e-13,0.0,ok,ok,
C,factorial_type,chebyshev,-2.0,backward_extension,,,,,,failed:ZeroDivisionError,float division by zero
C,factorial_type,chebyshev,-1.0,backward_extension,,,,,,failed:ZeroDivisionError,float division by zero
C,factorial_type,chebyshev,0.0,backward_extension,1.0000000000000004,1.0,4.440892098500626e-16,,failed:ZeroDivisionError,ok,
C,factorial_type,chebyshev,0.25,backward_extension,0.8944057328480447,0.9064024770554773,0.011996744207432575,0.0,ok,ok,
C,factorial_type,chebyshev,0.5,backward_extension,0.8864073985196589,0.8862269254527578,0.00018047306690105458,0.0,ok,ok,
C,factorial_type,chebyshev,1.0,base_interval,1.0000000000000004,1.0,4.440892098500626e-16,0.0,ok,ok,
C,factorial_type,chebyshev,1.5,base_interval,1.3296110977794884,1.329340388179137,0.0002707096003513598,0.0,ok,ok,
C,factorial_type,chebyshev,2.0,base_interval,1.9999999999999993,2.0,6.661338147750939e-16,1.5543122344752192e-15,ok,ok,
C,factorial_type,chebyshev,3.0,forward_extension,5.999999999999998,6.0,1.7763568394002505e-15,0.0,ok,ok,
C,factorial_type,chebyshev,4.0,forward_extension,23.999999999999993,24.0,7.105427357601002e-15,0.0,ok,ok,
C,factorial_type,chebyshev,5.0,forward_extension,119.99999999999997,120.0,2.842170943040401e-14,0.0,ok,ok,
